Concept,EPA,Normal_EPA,RPO_EPA
cab,0.087347496,0.08536,0.438214
curlFlat,0.02683033,0.000567,0.36263
curls,0.028884335,0.025064,0.202584
dagger,-0.073017793,-0.075193,0.176631
depot,-0.061966919,-0.061967,0
diagonalNine,0.035018198,0.028995,0.459646
diagonalSix,0.003118689,0.003221,-0.009553
digs,-0.078005649,-0.08268,0.426061
dino,0.16556705,0.161882,1.573095
dog,0.007189909,-0.011132,0.468133
drive,0.12290357,0.122904,0
flatSeven,0.056366722,0.060307,-0.148522
flood,-0.339018978,-0.339019,0
hoss,0.054102036,0.057796,-0.731932
levels,0.041900646,0.041901,0
mesh,-0.002582573,0.000007,-0.302167
mills,-0.002669676,-0.003137,0.171013
ohio,0.015113861,0.01417,0.169559
outs,0.04224636,0.034549,0.326346
pivot,-0.246700858,-0.245933,-0.4625
portland,-0.010769325,-0.011974,0.280568
pout,-0.110984966,-0.119327,0.612647
salem,-0.081165724,-0.081709,0.025627
scissors,0.134464934,0.134465,0
shallowCross,-0.025444066,-0.027498,0.518827
slay,0.043964491,0.03752,0.102089
slotCross,-0.004401588,-0.019791,0.161696
smash,0.11225693,0.106216,0.251194
snag,0.078169722,0.073181,0.56711
spacing,0.054901344,0.054901,0
stick,0.0323696,0.022039,0.622513
switch,0.041148989,0.035796,0.2369
tosser,0.094701649,0.109581,-0.01379
verticals,0.043304011,0.042365,0.18953
worf,-0.068336127,-0.090367,0.229362
y-cross,0.04493675,0.043069,1.954521
